######################################################################################################################;;;
#Scenario;;;
######################################################################################################################;;;
DW_NAME;Божественный ветер;X;
DW_DESC;Божественный ветер;X;
######################################################################################################################;;;
# Countries;;;
######################################################################################################################;;;
#########################################################;;;
# Soviet;;;
#########################################################;;;
NOV;Новгород;X;
NOV_ADJ;Новгородск.;X;
MOS;Московия;X;
MOS_ADJ;Московск.;X;
PSK;Псков;X;
PSK_ADJ;Псковск.;X;
TVE;Тверь;X;
TVE_ADJ;Тверск.;X;
YAR;Ярославль;X;
YAR_ADJ;Ярославск.;X;
RYA;Рязань;X;
RYA_ADJ;Рязанск.;X;
LVO;Ливонский орден;X;
LVO_ADJ;Ливонск.;X;
TEU;Тевтонский орден;X;
TEU_ADJ;Тевтонск.;X;
VKL;Литва;X;
VKL_ADJ;Литовск.;X;
KZN;Казань;X;
KZN_ADJ;Казанск.;X;
GOL;Золотая орда;X;
GOL_ADJ;Золотоордынск.;X;
SIB;Сибирь;X;
SIB_ADJ;Сибирск.;X;
RIG;Рига;X;
RIG_ADJ;Рижск.;X;
#########################################################;;;
# Spain;;;
#########################################################;;;
CAS;Кастилия;X;
CAS_ADJ;Кастильск.;X;
ARN;Арагон;X;
ARN_ADJ;Арагонск.;X;
NAV;Наварра;X;
NAV_ADJ;Наварск.;X;
GRA;Гранада;X;
GRA_ADJ;Гранадск.;X;
#########################################################;;;
# France;;;
#########################################################;;;
BUP;Бургундия;X;
BUP_ADJ;Бургундск.;X;
BRI;Бретань;X;
BRI_ADJ;Бретанск.;X;
FOI;Фуа;X;
FOI_ADJ;Фуанск.;X;
PRO;Прованс;X;
PRO_ADJ;Прованск.;X;
RMA;Арманьяк;X;
RMA_ADJ;Арманьякск.;X;
AVI;Авиньон;X;
AVI_ADJ;Авиньонск.;X;
ORL;Орлеан;X;
ORL_ADJ;Орлеанск.;X;
BEY;Берри;X;
BEY_ADJ;Берринск.;X;
AUV;Овернь;X;
AUV_ADJ;Овернск.;X;
BOU;Бурбонне;X;
BOU_ADJ;Бурбоннск.;X;
ALE;Алансон;X;
ALE_ADJ;Алансонск.;X;
POI;Пуату;X;
POI_ADJ;Пуатанск.;X;
BAR;Бар;X;
BAR_ADJ;Барск.;X;
